booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-006220,Resort Hotel,1,144,2024,May,22,28,2024-05-28,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,66.63,0,1
HB-021280,Resort Hotel,0,0,2024,March,12,23,2024-03-23,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient,45.0,0,0
HB-098017,City Hotel,0,299,2024,September,38,17,2024-09-17,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,8.0,,0,Transient,100.3,0,0
HB-057993,City Hotel,1,349,2024,October,40,4,2024-10-04,1,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,162,Transient-Party,90.0,0,0
HB-053195,City Hotel,1,350,2024,June,25,17,2024-06-17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0
HB-040880,City Hotel,0,16,2023,August,32,8,2023-08-08,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-101950,City Hotel,0,29,2024,November,46,14,2024-11-14,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,70.88,0,1
HB-103385,City Hotel,0,3,2024,December,51,19,2024-12-19,1,2,1,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.5,0,0
HB-082470,City Hotel,0,53,2023,December,52,29,2023-12-29,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,81.0,0,1
HB-112438,City Hotel,0,20,2025,May,21,21,2025-05-21,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,160.0,0,1
HB-112196,City Hotel,0,109,2025,May,20,18,2025-05-18,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,144.0,0,2
HB-112889,City Hotel,0,149,2025,May,22,27,2025-05-27,2,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.0,0,0
HB-008373,Resort Hotel,1,289,2024,September,39,24,2024-09-24,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient-Party,64.0,0,0
HB-075818,City Hotel,1,330,2023,September,37,12,2023-09-12,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-073543,City Hotel,1,219,2025,August,35,25,2025-08-25,2,2,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.0,0,0
HB-015736,Resort Hotel,0,0,2023,July,31,31,2023-07-31,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,153.0,0,0
HB-014010,Resort Hotel,0,0,2024,February,5,3,2024-02-03,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,11,A,E,1,No Deposit,,204.0,0,Transient,30.0,0,1
HB-041506,City Hotel,1,3,2023,August,33,17,2023-08-17,1,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,38.0,0,Transient,120.0,0,0
HB-098055,City Hotel,0,296,2024,September,38,21,2024-09-21,0,4,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,26.0,,0,Transient-Party,96.0,0,0
HB-106655,City Hotel,0,17,2025,February,9,26,2025-02-26,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,30.0,,0,Transient-Party,75.0,0,0
HB-068286,City Hotel,1,47,2025,May,20,15,2025-05-15,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,125.0,0,0
HB-052806,City Hotel,1,69,2024,June,24,12,2024-06-12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0
HB-076637,City Hotel,0,4,2024,July,27,5,2024-07-05,0,1,1,0.0,0,BB,PRT,Complementary,Corporate,1,0,7,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,1
HB-063029,City Hotel,1,45,2025,January,4,26,2025-01-26,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,84.8,0,0
HB-056114,City Hotel,1,40,2024,August,35,29,2024-08-29,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.83,0,0
HB-115424,City Hotel,0,10,2025,July,27,4,2025-07-04,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,140.0,0,0
HB-076698,City Hotel,0,2,2024,August,32,7,2024-08-07,2,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,41,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0
HB-003110,Resort Hotel,1,62,2023,November,46,18,2023-11-18,2,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,313.0,,0,Transient-Party,73.0,0,0
HB-107888,City Hotel,0,53,2025,March,11,16,2025-03-16,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,3
HB-066204,City Hotel,1,87,2025,April,16,15,2025-04-15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,95.0,0,0
HB-034574,Resort Hotel,0,49,2025,March,13,29,2025-03-29,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,55.0,0,1
HB-037189,Resort Hotel,0,24,2025,June,23,8,2025-06-08,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,66.0,0,0
HB-113758,City Hotel,0,3,2025,June,23,5,2025-06-05,1,5,1,0.0,0,BB,AUT,Aviation,Corporate,0,0,0,A,A,0,No Deposit,,153.0,0,Transient,95.0,0,0
HB-116646,City Hotel,0,165,2025,July,29,20,2025-07-20,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,132.9,0,1
HB-103563,City Hotel,0,25,2024,December,52,27,2024-12-27,0,1,1,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,220.0,,0,Transient-Party,60.0,0,0
HB-032699,Resort Hotel,0,1,2025,February,5,1,2025-02-01,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,130.0,0,Transient-Party,35.0,0,0
HB-102211,City Hotel,0,215,2024,November,47,21,2024-11-21,1,2,1,0.0,0,BB,DEU,Groups,Corporate,0,0,0,A,A,1,No Deposit,,233.0,0,Transient,75.0,0,0
HB-103635,City Hotel,0,173,2024,December,52,26,2024-12-26,1,2,2,2.0,0,BB,BRA,Direct,Direct,0,0,0,E,E,1,No Deposit,,,0,Transient,132.0,0,1
HB-001298,Resort Hotel,1,23,2023,August,34,23,2023-08-23,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,211.0,0,2
HB-088598,City Hotel,0,48,2024,May,19,8,2024-05-08,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,157.5,0,0
HB-039123,Resort Hotel,0,109,2025,August,32,4,2025-08-04,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,266.0,0,2
HB-013804,Resort Hotel,0,7,2024,January,2,13,2024-01-13,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,1,A,D,0,No Deposit,94.0,,0,Transient,27.0,0,0
HB-039413,Resort Hotel,0,256,2025,August,32,8,2025-08-08,2,7,2,1.0,0,HB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,479.0,,0,Transient,172.81,0,4
HB-096726,City Hotel,0,86,2024,September,36,3,2024-09-03,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,3.0,,0,Transient,90.95,0,3
HB-075216,City Hotel,1,294,2023,August,32,7,2023-08-07,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
HB-094810,City Hotel,0,59,2024,August,32,8,2024-08-08,1,1,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,131.4,0,1
HB-102969,City Hotel,0,4,2024,December,50,9,2024-12-09,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,105.0,0,0
HB-019496,Resort Hotel,0,7,2023,December,51,22,2023-12-22,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,48.0,0,1
HB-077227,City Hotel,0,327,2023,September,36,9,2023-09-09,2,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,88.0,0,0
HB-097955,City Hotel,0,1,2024,September,38,22,2024-09-22,0,1,1,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Transient,175.0,0,1
HB-015085,Resort Hotel,1,144,2023,August,31,1,2023-08-01,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,D,0,No Deposit,6.0,,0,Transient,90.95,0,1
HB-020679,Resort Hotel,0,14,2024,February,5,1,2024-02-01,1,5,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,74.67,0,0
HB-051409,City Hotel,1,322,2024,May,20,19,2024-05-19,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,120,Transient,80.0,0,0
HB-068852,City Hotel,1,270,2025,May,21,21,2025-05-21,2,3,2,0.0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.54,0,1
HB-090514,City Hotel,0,247,2024,June,23,6,2024-06-06,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
HB-003080,Resort Hotel,1,121,2023,November,46,14,2023-11-14,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,40.93,0,1
HB-040409,City Hotel,0,16,2023,July,30,25,2023-07-25,2,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0
HB-020948,Resort Hotel,0,2,2024,February,7,13,2024-02-13,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,85.0,0,0
HB-047270,City Hotel,1,1,2024,February,7,14,2024-02-14,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,0
HB-098303,City Hotel,0,237,2024,September,37,13,2024-09-13,4,11,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,116.62,0,1
HB-071572,City Hotel,1,95,2025,July,28,7,2025-07-07,2,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1
HB-051013,City Hotel,1,273,2024,May,20,13,2024-05-13,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,95.0,0,0
HB-002567,Resort Hotel,0,133,2023,October,42,22,2023-10-22,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Transient,60.0,1,1
HB-087351,City Hotel,0,0,2024,April,16,15,2024-04-15,1,2,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,119.0,0,0
HB-053449,City Hotel,1,118,2024,June,25,20,2024-06-20,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.86,0,0
HB-074501,City Hotel,1,325,2023,September,36,7,2023-09-07,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0
HB-035257,Resort Hotel,0,30,2025,April,16,14,2025-04-14,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,76.67,0,0
HB-052618,City Hotel,1,87,2024,June,23,8,2024-06-08,2,5,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,,0,Transient,93.55,0,0
HB-011735,Resort Hotel,1,313,2025,May,22,27,2025-05-27,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,59.79,0,1
HB-080022,City Hotel,0,0,2023,November,45,9,2023-11-09,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,85.0,1,0
HB-077543,City Hotel,1,20,2023,September,39,29,2023-09-29,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,250.0,0,0
HB-012244,Resort Hotel,1,132,2025,June,25,19,2025-06-19,2,5,2,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,153.71,0,2
HB-095984,City Hotel,0,43,2024,August,34,22,2024-08-22,1,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,152.1,0,0
HB-028705,Resort Hotel,0,8,2024,October,40,6,2024-10-06,1,3,2,2.0,0,BB,GBR,Groups,Corporate,0,0,0,C,C,1,No Deposit,,405.0,0,Transient-Party,88.0,1,0
HB-101617,City Hotel,0,48,2024,November,46,13,2024-11-13,2,0,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0
HB-023061,Resort Hotel,0,2,2024,April,15,14,2024-04-14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,,169.0,0,Transient,45.0,1,0
HB-047606,City Hotel,1,1,2024,February,9,28,2024-02-28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,60.0,0,0
HB-093074,City Hotel,0,186,2024,July,28,12,2024-07-12,0,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,2
HB-039403,Resort Hotel,0,217,2025,August,33,11,2025-08-11,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,199.67,0,2
HB-103766,City Hotel,0,225,2024,December,52,27,2024-12-27,0,5,2,0.0,0,SC,GRC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,70.55,0,3
HB-026972,Resort Hotel,0,69,2024,August,32,7,2024-08-07,4,5,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,2,No Deposit,181.0,,0,Transient,231.76,0,0
HB-056186,City Hotel,1,175,2024,August,35,31,2024-08-31,0,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.63,0,0
HB-029041,Resort Hotel,0,1,2024,October,42,20,2024-10-20,0,0,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0.0,0,0
HB-044445,City Hotel,1,97,2023,October,40,5,2023-10-05,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0
HB-118320,City Hotel,0,43,2025,August,33,16,2025-08-16,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,B,A,0,No Deposit,14.0,,0,Transient,123.0,0,0
HB-011843,Resort Hotel,1,104,2025,June,22,1,2025-06-01,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,121.5,0,0
HB-094489,City Hotel,0,83,2024,August,31,1,2024-08-01,1,3,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.9,0,1
HB-115986,City Hotel,0,21,2025,July,28,8,2025-07-08,2,3,2,0.0,0,BB,CHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,152.0,0,2
HB-040447,City Hotel,1,19,2023,July,30,25,2023-07-25,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-082167,City Hotel,1,99,2024,February,8,19,2024-02-19,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,67.0,0,Transient-Party,80.0,0,0
HB-027875,Resort Hotel,0,231,2024,August,35,31,2024-08-31,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient,99.32,0,1
HB-095007,City Hotel,0,74,2024,August,32,9,2024-08-09,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1
HB-118740,City Hotel,0,4,2025,August,34,22,2025-08-22,0,3,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,98.4,0,1
HB-119328,City Hotel,0,186,2025,August,35,31,2025-08-31,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,126.0,0,2
HB-117487,City Hotel,0,204,2025,July,31,29,2025-07-29,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,75.65,0,0
HB-047411,City Hotel,1,24,2024,February,8,20,2024-02-20,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,0
HB-005217,Resort Hotel,0,191,2024,April,17,22,2024-04-22,1,2,2,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,85.33,0,0
HB-080913,City Hotel,0,15,2023,November,47,26,2023-11-26,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,72.07,0,0
HB-110847,City Hotel,0,140,2025,April,18,28,2025-04-28,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,G,0,No Deposit,119.0,,0,Transient-Party,130.0,0,0
HB-052183,City Hotel,1,61,2024,June,22,1,2024-06-01,0,4,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9.0,,0,Transient,159.3,0,1
HB-103396,City Hotel,0,345,2024,December,51,20,2024-12-20,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,2
HB-026902,Resort Hotel,0,1,2024,August,33,13,2024-08-13,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,241.0,1,0
HB-106082,City Hotel,0,6,2025,February,8,18,2025-02-18,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.5,0,3
HB-109533,City Hotel,0,62,2025,April,14,6,2025-04-06,2,5,3,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,138.57,0,2
HB-043652,City Hotel,1,70,2023,September,38,22,2023-09-22,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Transient,62.18,0,2
HB-038247,Resort Hotel,0,152,2025,July,27,4,2025-07-04,2,7,2,0.0,1,BB,IRL,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,149.0,0,3
HB-116592,City Hotel,0,154,2025,July,29,15,2025-07-15,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,116.1,0,0
HB-010835,Resort Hotel,1,24,2025,April,15,8,2025-04-08,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,,0,Transient,147.0,0,1
HB-072795,City Hotel,1,107,2025,August,32,6,2025-08-06,2,5,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,225.0,0,1
HB-003633,Resort Hotel,1,126,2023,December,52,28,2023-12-28,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,39.42,0,1
HB-031837,Resort Hotel,0,0,2025,January,2,7,2025-01-07,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,44.0,0,0
HB-035681,Resort Hotel,0,208,2025,April,17,22,2025-04-22,2,5,1,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,40.39,0,0
HB-084776,City Hotel,0,117,2024,February,9,29,2024-02-29,1,2,1,0.0,0,BB,LBY,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,134.0,,0,Transient-Party,76.0,0,0
HB-010411,Resort Hotel,1,312,2025,March,10,5,2025-03-05,2,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,1,No Deposit,298.0,,0,Transient-Party,45.0,0,0
HB-044577,City Hotel,0,210,2023,October,40,8,2023-10-08,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,12.0,,0,Transient-Party,72.75,0,0
HB-081126,City Hotel,1,146,2024,March,13,30,2024-03-30,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,86.0,,28,Transient,80.0,0,0
HB-108428,City Hotel,0,127,2025,March,12,23,2025-03-23,1,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,2
HB-058564,City Hotel,1,37,2024,October,41,13,2024-10-13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,105.0,0,0
HB-001382,Resort Hotel,0,45,2023,August,34,27,2023-08-27,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Contract,75.53,0,0
HB-028563,Resort Hotel,0,11,2024,October,40,3,2024-10-03,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6.0,,0,Transient,46.0,1,0
HB-085734,City Hotel,0,119,2024,March,12,18,2024-03-18,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,28.0,,0,Transient,55.0,0,0
HB-040645,City Hotel,1,0,2023,August,31,4,2023-08-04,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0
HB-098613,City Hotel,0,11,2024,September,40,30,2024-09-30,0,2,2,0.0,1,BB,DEU,Direct,Direct,0,0,0,E,A,1,No Deposit,14.0,,0,Transient,218.0,1,0
